City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.88,147.33,43.0,80,20,8.05,few clouds
1,Dalbandin,PK,28.89,64.41,57.92,28,0,2.57,clear sky
2,Qaanaaq,GL,77.48,-69.36,-12.95,71,0,7.56,clear sky
3,Kapaa,US,22.08,-159.32,80.6,83,40,10.29,moderate rain
4,Bethel,US,41.37,-73.41,73.4,35,1,4.7,clear sky
5,Harrismith,ZA,-28.27,29.13,62.74,48,0,5.48,clear sky
6,Busselton,AU,-33.65,115.33,55.0,66,47,2.75,scattered clouds
7,Bengkulu,ID,-3.8,102.27,76.14,86,100,4.12,overcast clouds
8,Saint-Philippe,RE,-21.36,55.77,73.4,78,0,11.41,clear sky
9,Madimba,TZ,-10.4,40.33,78.8,83,20,7.61,few clouds
10,Longyearbyen,SJ,78.22,15.64,28.4,86,20,4.16,few clouds
11,Jamestown,US,42.1,-79.24,69.01,39,1,6.93,clear sky
12,Nikolskoye,RU,59.7,30.79,48.2,81,90,11.18,light rain
13,Yarada,IN,17.65,83.27,80.6,78,40,2.24,mist
14,Xapuri,BR,-10.65,-68.5,97.7,27,100,4.38,overcast clouds
15,Albany,US,42.6,-73.97,71.01,43,75,5.82,broken clouds
16,Yarmouth,US,41.71,-70.23,71.6,49,1,9.17,clear sky
17,Vidim,RU,56.41,103.11,28.65,98,100,5.77,overcast clouds
18,Severodvinsk,RU,64.56,39.83,41.0,93,90,15.66,overcast clouds
19,Los Llanos De Aridane,ES,28.66,-17.92,68.0,68,20,6.93,few clouds
20,Thompson,CA,55.74,-97.86,19.4,85,90,3.4,light snow
21,Pirojpur,BD,22.57,89.98,64.9,68,0,5.23,clear sky
22,Port Blair,IN,11.67,92.75,81.03,79,0,7.0,light rain
23,Georgetown,MY,5.41,100.34,78.8,88,40,3.36,scattered clouds
24,Pevek,RU,69.7,170.31,16.81,96,100,2.68,overcast clouds
25,Luganville,VU,-15.53,167.17,80.6,88,40,1.12,scattered clouds
26,Katsuura,JP,35.13,140.3,68.0,82,75,5.82,broken clouds
27,Khatanga,RU,71.97,102.5,-4.45,87,9,12.57,clear sky
28,Lucea,JM,18.45,-78.17,77.0,94,90,5.82,light rain
29,Berlevag,NO,70.86,29.09,38.82,75,84,26.93,broken clouds
30,Darovskoy,RU,58.77,47.96,33.42,95,71,8.12,broken clouds
31,Kodiak,US,57.79,-152.41,42.8,81,90,3.36,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,60.8,41,75,18.34,drizzle
33,Punta Arenas,CL,-53.15,-70.92,59.0,54,40,26.4,scattered clouds
34,Christchurch,NZ,-43.53,172.63,48.0,93,100,26.4,moderate rain
35,Mataura,NZ,-46.19,168.86,48.99,60,94,10.0,overcast clouds
36,Camacupa,AO,-12.02,17.48,67.23,72,100,2.3,overcast clouds
37,Olafsvik,IS,64.89,-23.71,40.95,69,92,27.58,overcast clouds
38,Cape Town,ZA,-33.93,18.42,64.0,82,75,13.87,broken clouds
39,Kasongo-Lunda,CD,-6.47,16.82,72.68,91,100,1.63,light rain
40,Yulara,AU,-25.24,130.99,73.4,13,49,8.05,scattered clouds
41,Ponta Do Sol,PT,32.67,-17.1,66.2,72,20,3.36,few clouds
42,Port Elizabeth,ZA,-33.92,25.57,62.6,93,0,5.82,clear sky
43,Luderitz,NA,-26.65,15.16,63.1,85,0,5.64,clear sky
44,Dikson,RU,73.51,80.55,-2.6,89,33,11.83,scattered clouds
45,Cabo San Lucas,MX,22.89,-109.91,84.0,69,75,10.29,broken clouds
46,Severo-Kurilsk,RU,50.68,156.12,34.47,83,0,2.46,clear sky
