City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,80.6,moderate rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
7,Bengkulu,ID,76.14,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
9,Madimba,TZ,78.8,few clouds,-10.4,40.33,
13,Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
22,Port Blair,IN,81.03,light rain,11.67,92.75,Fortune Resort Bay Island
23,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
25,Luganville,VU,80.6,scattered clouds,-15.53,167.17,The Espiritu Hotel
28,Lucea,JM,77.0,light rain,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
45,Cabo San Lucas,MX,84.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
51,Nanakuli,US,80.6,scattered clouds,21.39,-158.15,Camp Pālehua
53,Marakkanam,IN,79.92,scattered clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
56,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
59,Butaritari,KI,80.87,overcast clouds,3.07,172.79,Isles Sunset Lodge
60,Bara,NG,77.85,clear sky,10.37,10.73,
65,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
67,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
71,Atuona,PF,77.79,overcast clouds,-9.8,-139.03,Villa Enata
74,Hithadhoo,MV,83.1,moderate rain,-0.6,73.08,Scoop Guest House
75,Banjar,ID,75.43,clear sky,-8.19,114.97,The Hamsa Resort
80,Nhulunbuy,AU,78.8,broken clouds,-12.23,136.77,East Arnhem Real Estate
81,Marsh Harbour,BS,79.36,overcast clouds,26.54,-77.06,Abaco Beach Resort
84,Culebra,PR,86.0,few clouds,18.3,-65.3,Palmetto Guesthouse
85,Santa Maria,BR,86.0,clear sky,-29.68,-53.81,Hotel Morotin
87,San Carlos De Bariloche,AR,75.2,scattered clouds,-41.15,-71.31,Hotel Patagonia
88,Vanimo,PG,75.72,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
90,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
93,Faanui,PF,78.93,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
96,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
98,Mayumba,GA,78.03,light rain,-3.43,10.66,LIKWALE LODGE
101,Hilo,US,78.8,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
105,Am Timan,TD,81.09,clear sky,11.03,20.28,Palais du chef Canton Salamt
107,Bac Lieu,VN,78.4,broken clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
115,Isangel,VU,79.36,clear sky,-19.55,169.27,Volcano Sea View Tree House
117,Santa Rita,BR,82.4,scattered clouds,-7.11,-34.98,Infinity Motel
120,Goya,AR,85.93,clear sky,-29.14,-59.26,Apart Costanera
131,Comarapa,BO,79.38,clear sky,-17.9,-64.48,
136,Kormilovka,RU,75.81,scattered clouds,55.0,74.1,"Zhemchuzhina, Baza Otdykha"
142,Sitangkai,PH,82.02,overcast clouds,4.66,119.39,
144,Castro,BR,77.79,clear sky,-24.79,-50.01,CHACARA BAILLY
145,Victoria,HK,78.01,clear sky,22.29,114.16,Mini Hotel Central
147,Cockburn Town,TC,78.8,overcast clouds,21.46,-71.14,Osprey Beach Hotel
148,Kavieng,PG,82.44,scattered clouds,-2.57,150.8,Nusa Island Retreat
149,Vila Do Maio,CV,80.6,clear sky,15.13,-23.22,Residence 'I Delfini'
151,Oranjestad,AW,86.0,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
152,Buchanan,LR,80.6,few clouds,5.88,-10.05,Kamaneahn Hotel Inc
154,Avera,US,80.6,broken clouds,33.19,-82.53,
163,Lorengau,PG,81.19,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
164,Saint-Georges,GD,84.2,scattered clouds,12.06,-61.75,Siesta Hotel
165,Auki,SB,79.3,clear sky,-8.77,160.7,Auki Motel
